t,daily_cases_obs,ward_obs,icu_obs,daily_deaths_obs,NT,P_0_49,P_50_59,P_60_69,P_70p
199,605.0,421.0,61.0,3.0,13396.0,0.6355785837651123,0.15889464594127808,0.10535405872193436,0.1001727115716753
200,770.0,421.0,59.0,10.0,13564.0,0.6710182767624021,0.15013054830287206,0.08224543080939947,0.09660574412532637
201,780.0,408.0,57.0,6.0,13547.0,0.6102756892230576,0.14786967418546365,0.11027568922305764,0.13157894736842105
202,849.0,433.0,64.0,5.0,13513.0,0.6662763466042154,0.1451990632318501,0.09484777517564402,0.0936768149882904
203,552.0,448.0,63.0,13.0,13416.0,0.6071428571428571,0.13157894736842105,0.09774436090225562,0.16353383458646611
204,623.0,457.0,61.0,8.0,13463.0,0.6993569131832797,0.12218649517684887,0.07234726688102894,0.10610932475884245
205,463.0,476.0,70.0,5.0,13473.0,0.5944206008583691,0.12875536480686695,0.1223175965665236,0.15450643776824036
206,802.0,494.0,77.0,3.0,13367.0,0.6201743462017435,0.1382316313823163,0.08841843088418432,0.15317559153175592
207,691.0,503.0,85.0,3.0,13332.0,0.5971014492753624,0.15797101449275364,0.10434782608695652,0.14057971014492754
208,899.0,538.0,86.0,5.0,13540.0,0.6270810210876804,0.1564927857935627,0.09988901220865705,0.11653718091009989
209,884.0,530.0,85.0,8.0,13642.0,0.6108597285067874,0.12669683257918551,0.08257918552036199,0.17986425339366516
210,665.0,546.0,89.0,9.0,13673.0,0.6575562700964631,0.1334405144694534,0.09324758842443731,0.11575562700964631
211,425.0,561.0,98.0,4.0,13709.0,0.6549295774647887,0.11737089201877934,0.08685446009389672,0.14084507042253522
212,688.0,562.0,99.0,6.0,13974.0,0.6284470246734397,0.11465892597968069,0.09143686502177069,0.16545718432510886
213,825.0,561.0,105.0,8.0,14318.0,0.6351515151515151,0.1393939393939394,0.08727272727272728,0.13818181818181818
214,854.0,575.0,107.0,6.0,14628.0,0.6269185360094451,0.12750885478158205,0.09445100354191263,0.1511216056670602
